passenger_count,sum(total_amount)
8.0,677.5799999999999
7.0,439.67
1.0,59300129.08995287
4.0,1549477.710000026
3.0,3006403.559999843
2.0,13156377.540003132
6.0,745240.6100000032
5.0,1133495.210000007
